LoanID,Ally ID,RecipientID,RecipientType,LoanAmount,IssueDate,LoanType,DisbursementMeans,Status
11624,433433339237,433433339237,Ally,900,01/02/2025 14:41:48,XIMPLE FIJO,STP,ACTIVO
11636,433433330385,433433330385,Ally,922,01/02/2025 16:05:07,XIMPLE FIJO,MERCANCIA,ACTIVO
11641,433433337981,433433337981,Ally,500,01/02/2025 17:07:38,XIMPLE FIJO,STP,CANCELADO
11648,433433336847,433433336847,Ally,800,01/02/2025 23:43:19,XIMPLE FIJO,STP,ACTIVO
11650,433433339817,433433339817,Ally,1000,02/02/2025 9:06:06,XIMPLE OPTIMIZA,STP,ACTIVO
11663,433433338925,433433338925,Ally,798,02/02/2025 15:36:13,XIMPLE FIJO,MERCANCIA,ACTIVO
11664,433433333932,433433333932,Ally,669,02/02/2025 15:48:31,XIMPLE FIJO,MERCANCIA,ACTIVO
11671,433433339817,433433339817,Ally,500,02/02/2025 21:21:59,XIMPLE FIJO,STP,CANCELADO
11678,433433337981,433433337981,Ally,700,03/02/2025 11:18:48,XIMPLE FIJO,STP,CANCELADO
11688,433433337110,433433337110,Ally,800,03/02/2025 13:10:15,XIMPLE FIJO,STP,ACTIVO
11708,433433339922,433433339922,Ally,800,03/02/2025 15:24:17,XIMPLE FIJO,MERCANCIA,ACTIVO
11709,433433339433,433433339433,Ally,1141,03/02/2025 15:29:12,XIMPLE FIJO,MERCANCIA,ACTIVO
11711,433433339014,433433339014,Ally,1600,03/02/2025 15:37:53,XIMPLE OPTIMIZA,MERCANCIA,ACTIVO
11714,433433330203,433433330203,Ally,1382,03/02/2025 16:06:46,XIMPLE FIJO,MERCANCIA,ACTIVO
11721,433433334261,433433334261,Ally,3300,03/02/2025 17:02:33,XIMPLE FIJO,STP,ACTIVO
11729,433433336492,8233,Client,5000,03/02/2025 17:24:26,XIMPLE FIJO,STP,ACTIVO
11739,433433333373,8234,Client,7800,03/02/2025 18:21:14,XIMPLE FIJO,STP,ACTIVO
11741,433433338857,433433338857,Ally,3350,03/02/2025 18:42:17,XIMPLE OPTIMIZA,MERCANCIA,ACTIVO
11747,433433334573,433433334573,Ally,1900,03/02/2025 21:32:33,XIMPLE OPTIMIZA,STP,ACTIVO
11762,433433330283,433433330283,Ally,5000,04/02/2025 12:24:54,XIMPLE FIJO,MERCANCIA,ACTIVO
11767,433433334092,433433334092,Ally,1000,04/02/2025 13:15:04,XIMPLE FIJO,STP,ACTIVO
11769,433433330927,433433330927,Ally,3000,04/02/2025 13:46:11,XIMPLE FIJO,MERCANCIA,ACTIVO
11774,433433339711,433433339711,Ally,1000,04/02/2025 14:51:00,XIMPLE OPTIMIZA,MERCANCIA,ACTIVO
11793,433433339147,433433339147,Ally,1492,04/02/2025 17:38:00,XIMPLE FIJO,MERCANCIA,ACTIVO
11807,433433330707,433433330707,Ally,1000,05/02/2025 11:21:04,XIMPLE FIJO,MERCANCIA,ACTIVO
11809,433433338819,433433338819,Ally,1950,05/02/2025 11:53:03,XIMPLE OPTIMIZA,MERCANCIA,ACTIVO
11814,433433331339,433433331339,Ally,1758,05/02/2025 12:45:48,XIMPLE OPTIMIZA,MERCANCIA,ACTIVO
11816,433433331331,433433331331,Ally,1989,05/02/2025 13:01:53,XIMPLE FIJO,MERCANCIA,ACTIVO
11835,433433335922,433433335922,Ally,700,05/02/2025 15:46:40,XIMPLE FIJO,STP,ACTIVO
11836,433433330194,433433330194,Ally,569,05/02/2025 15:59:24,XIMPLE FIJO,MERCANCIA,ACTIVO
11840,433433334709,433433334709,Ally,2000,05/02/2025 15:46:10,XIMPLE FIJO,STP,ACTIVO
11855,433433331350,433433331350,Ally,2000,05/02/2025 18:51:06,XIMPLE FIJO,MERCANCIA,ACTIVO
11863,433433335521,433433335521,Ally,1000,05/02/2025 22:57:18,XIMPLE FIJO,STP,ACTIVO
11866,433433337652,433433337652,Ally,800,06/02/2025 7:28:44,XIMPLE FIJO,STP,ACTIVO
11880,433433330865,433433330865,Ally,550,06/02/2025 13:02:35,XIMPLE OPTIMIZA,MERCANCIA,ACTIVO
11908,433433338917,433433338917,Ally,2405,06/02/2025 18:05:46,XIMPLE FIJO,MERCANCIA,ACTIVO
11909,433433336471,433433336471,Ally,1900,06/02/2025 18:13:46,XIMPLE FIJO,STP,ACTIVO
11910,433433339474,433433339474,Ally,830,06/02/2025 18:24:39,XIMPLE FIJO,MERCANCIA,ACTIVO
11923,433433335914,433433335914,Ally,3300,07/02/2025 9:24:07,XIMPLE OPTIMIZA,STP,ACTIVO
11932,433433330891,433433330891,Ally,4091,07/02/2025 11:12:32,XIMPLE FIJO,MERCANCIA,CANCELADO
11935,433433338617,433433338617,Ally,669,07/02/2025 11:40:17,XIMPLE FIJO,MERCANCIA,ACTIVO
11946,433433334608,433433334608,Ally,1400,07/02/2025 13:17:45,XIMPLE FIJO,STP,ACTIVO
11965,433433336922,433433336922,Ally,600,07/02/2025 16:36:32,XIMPLE FIJO,STP,ACTIVO
11982,433433334573,433433334573,Ally,600,07/02/2025 18:47:39,XIMPLE OPTIMIZA,STP,ACTIVO
11985,433433337472,433433337472,Ally,700,07/02/2025 19:34:03,XIMPLE FIJO,STP,ACTIVO
11986,433433338614,433433338614,Ally,1000,07/02/2025 20:27:06,XIMPLE FIJO,STP,ACTIVO
11989,433433331313,433433331313,Ally,1500,07/02/2025 22:34:32,XIMPLE FIJO,STP,ACTIVO
11996,433433339147,433433339147,Ally,701,08/02/2025 11:13:17,XIMPLE FIJO,MERCANCIA,ACTIVO
11997,433433336725,433433336725,Ally,1300,08/02/2025 11:30:27,XIMPLE FIJO,STP,ACTIVO
12011,433433330193,433433330193,Ally,870,08/02/2025 13:57:25,XIMPLE FIJO,MERCANCIA,ACTIVO
12024,433433338755,433433338755,Ally,1493,08/02/2025 15:41:55,XIMPLE FIJO,MERCANCIA,ACTIVO
12033,433433331360,433433331360,Ally,1000,08/02/2025 17:07:36,XIMPLE FIJO,MERCANCIA,ACTIVO
12042,433433331432,433433331432,Ally,1500,08/02/2025 19:06:31,XIMPLE FIJO,STP,ACTIVO
12048,433433338610,433433338610,Ally,3150,09/02/2025 13:15:18,XIMPLE FIJO,MERCANCIA,ACTIVO
12078,433433339880,433433339880,Ally,2900,10/02/2025 11:23:12,XIMPLE FIJO,MERCANCIA,ACTIVO
12084,433433339625,433433339625,Ally,800,10/02/2025 12:08:09,XIMPLE FIJO,STP,ACTIVO
12107,433433330043,433433330043,Ally,2000,10/02/2025 15:49:11,XIMPLE FIJO,STP,ACTIVO
12113,433433330859,433433330859,Ally,4070,10/02/2025 16:16:55,XIMPLE FIJO,MERCANCIA,ACTIVO
12123,433433337981,433433337981,Ally,900,10/02/2025 17:20:10,XIMPLE FIJO,STP,ACTIVO
12131,433433337052,433433337052,Ally,1700,10/02/2025 12:57:13,XIMPLE FIJO,Cashout BBVA,ACTIVO
12134,433433337286,433433337286,Ally,500,10/02/2025 22:13:23,XIMPLE FIJO,STP,ACTIVO
12145,433433330534,433433330534,Ally,700,11/02/2025 10:22:44,XIMPLE FIJO,STP,ACTIVO
12158,433433333315,433433333315,Ally,9000,11/02/2025 14:08:28,XIMPLE FIJO,STP,ACTIVO
12166,433433330967,433433330967,Ally,1431,11/02/2025 16:20:24,XIMPLE FIJO,MERCANCIA,ACTIVO
12208,433433338023,433433338023,Ally,1999,12/02/2025 12:10:52,XIMPLE FIJO,MERCANCIA,ACTIVO
12210,433433334945,433433334945,Ally,1500,12/02/2025 14:11:01,XIMPLE FIJO,STP,ACTIVO
12212,433433333550,433433333550,Ally,1000,12/02/2025 14:38:34,XIMPLE FIJO,MERCANCIA,ACTIVO
12214,433433330197,433433330197,Ally,713,12/02/2025 14:51:52,XIMPLE OPTIMIZA,MERCANCIA,ACTIVO
12220,433433334519,433433334519,Ally,1300,12/02/2025 16:55:55,XIMPLE FIJO,STP,ACTIVO
12225,433433337981,433433337981,Ally,600,12/02/2025 17:42:15,XIMPLE FIJO,STP,ACTIVO
12238,433433335521,433433335521,Ally,1000,13/02/2025 06:53:50,XIMPLE FIJO,STP,ACTIVO
12246,433433338704,433433338704,Ally,1747,13/02/2025 10:46:36,XIMPLE FIJO,MERCANCIA,ACTIVO
12248,433433334092,433433334092,Ally,3300,13/02/2025 10:46:20,XIMPLE FIJO,STP,ACTIVO
12252,433433330974,433433330974,Ally,3160,13/02/2025 11:57:10,XIMPLE OPTIMIZA,MERCANCIA,ACTIVO
12262,433433338792,433433338792,Ally,600,13/02/2025 12:37:24,XIMPLE FIJO,STP,ACTIVO
12298,433433337110,433433337110,Ally,600,14/02/2025 08:52:11,XIMPLE FIJO,STP,ACTIVO
12304,433433338817,433433338817,Ally,3050,14/02/2025 10:15:08,XIMPLE FIJO,MERCANCIA,ACTIVO
12310,433433333374,433433333374,Ally,6000,14/02/2025 11:54:29,XIMPLE FIJO,STP,ACTIVO
12312,433433338644,433433338644,Ally,1099,14/02/2025 12:01:19,XIMPLE FIJO,MERCANCIA,ACTIVO
12322,433433339224,433433339224,Ally,1849,14/02/2025 14:16:59,XIMPLE FIJO,MERCANCIA,ACTIVO
12325,433433330639,433433330639,Ally,1065,14/02/2025 14:49:28,XIMPLE FIJO,MERCANCIA,ACTIVO
